ASSET_ID,AGE_YRS,DAYS_SINCE_PM,N_FAILURES,TOTAL_DOWNTIME_HRS,AVG_TEMP,AVG_VIB,AVG_PRES,FAILED_WITHIN_30D
S-301,5.37,999,0,0,65.04,0,17.96,0
HE-501,10.17,5,0,0,0,0,0,0
HE-401,3.04,46,1,180,0,0,0,1
P-401,8.04,4,0,0,0,2.49,0,0
HE-301,11.43,11,0,0,0,0,0,0
V-401,11.48,27,0,0,0,0,0,0
P-201,10.6,68,0,0,0,2.49,0,0
P-501,4.75,999,0,0,0,2.51,0,0
S-101,7.26,999,1,480,65.05,0,17.98,1
C-401,8.09,18,1,1440,0,2.98,0,1
S-201,11.63,40,0,0,65.05,0,17.96,0
P-301,9.76,64,0,0,0,2.5,0,0
S-401,4.57,71,2,1920,64.99,0,17.96,1
HE-101,4.23,999,1,1440,0,0,0,1
C-501,10.27,40,0,0,0,3,0,0
HE-201,9.69,6,1,960,0,0,0,1
C-301,3.52,999,0,0,0,2.99,0,0
C-101,6.86,-11,1,1440,0,3.01,0,1
V-101,3.01,999,0,0,0,0,0,0
C-201,9.2,26,1,16704,0,6.77,0,1
P-101,10.18,29,1,6549,0,6.95,0,1
S-501,7.06,55,0,0,65.01,0,18.01,0
V-301,4.44,999,0,0,0,0,0,0
V-501,8.07,999,0,0,0,0,0,0
V-201,5.7,999,0,0,0,0,0,0
